time	subjects	deaths
1	4457	4
3	6941	28
5	8074	50
7	8765	71
9	9522	94
11	10990	117
13	14311	147
15	21005	192
17	34098	264
19	59694	386
21	108062	583
23	193975	926
25	330820	1549
27	517772	2569
29	730759	4135
31	934117	6224
33	1101884	8811
35	1230177	11785
37	1320814	14859
39	1376073	18197
41	1393606	21696
43	1372976	25082
45	1319011	28407
47	1239902	31570
49	1143284	34494
51	1038148	37240
56	780967	42836
61	566874	46927
66	405988	49856
71	289360	52053
76	207893	53532
81	150733	54643
86	110411	55478
91	81809	56092
96	60944	56532
101	46058	56859
121	16963	57578
141	9036	57887
161	8367	58072
181	10621	58307
201	14843	58652
221	21301	59105
241	28478	59700
261	35149	60494
281	40863	61441
301	44714	62527
321	43861	63677
341	39995	64732
361	32690	65672
381	25709	66392
401	19343	66937
421	14560	67355
441	10660	67675
461	7867	67912
481	6061	68077
501	4375	68201
521	3289	68307
541	2423	68367
561	1806	68420
581	1488	68454
