time	subjects	deaths
1	11139	6
3	471487	314
5	6866172	7322
7	16276102	37185
9	20009163	83253
11	20305757	134162
13	19033187	183641
15	17137529	228591
17	15094432	268560
19	13129435	303643
21	11335171	334445
23	9743298	360859
25	8355741	383370
27	7157850	402678
29	6130752	419076
31	5251645	433214
33	4502930	445383
35	3864862	455809
37	3318950	464728
39	2853259	472427
41	2456991	479014
43	2119154	484627
45	1829700	489437
47	1582058	493713
49	1369720	497319
51	1187665	500484
56	834944	506721
61	592099	510902
66	422618	514061
71	304012	516286
76	220253	517953
81	160094	519160
86	117687	520008
91	86738	520629
96	64102	521116
101	47612	521432
121	15015	522154
141	4966	522379
161	1619	522468
181	544	522500
201	202	522507
221	80	522510
241	40	522511
261	13	522511
281	1	522511
301	0	522511
321	0	522511
341	0	522511
361	0	522511
381	0	522511
401	0	522511
421	0	522511
441	0	522511
461	0	522511
481	0	522511
501	0	522511
521	0	522511
541	0	522511
561	0	522511
581	0	522511
