time	subjects	deaths
1	4503	5
3	7256	20
5	9232	50
7	12296	81
9	19337	121
11	38956	188
13	91765	342
15	218439	712
17	446497	1541
19	733960	3062
21	1009783	5254
23	1228050	8014
25	1361759	11339
27	1405876	14772
29	1381037	18143
31	1312181	21509
33	1218327	24582
35	1114945	27475
37	1012263	30148
39	914809	32585
41	825237	34648
43	746588	36586
45	675663	38311
47	615089	39908
49	563477	41335
51	520555	42735
56	446913	45735
61	418461	48413
66	425623	50977
71	457110	53751
76	494008	56785
81	516388	59912
86	514243	63154
91	486407	66359
96	442703	69223
101	390083	71799
121	198855	79079
141	92986	82541
161	43228	84179
181	20390	84944
201	9963	85304
221	5055	85492
241	2869	85565
261	1917	85614
281	1432	85653
301	1246	85689
321	1149	85727
341	1061	85757
361	1113	85792
381	1009	85825
401	896	85849
421	850	85873
441	857	85900
461	844	85920
481	836	85954
501	755	85977
521	770	85998
541	682	86022
561	585	86031
581	620	86044
