time	subjects	deaths
1	5616	4
3	22460	35
5	79542	147
7	269019	539
9	827599	1859
11	2096131	5398
13	4057308	12967
15	6091609	25788
17	7554223	43126
19	8247735	62897
21	8328229	83622
23	8034231	104063
25	7554754	123898
27	7010710	141901
29	6469132	158571
31	5964792	174112
33	5516046	188618
35	5127880	201848
37	4795848	214352
39	4509618	225900
41	4262972	236917
43	4046733	247157
45	3853317	257120
47	3677911	266493
49	3514433	275382
51	3361197	283835
56	3004653	303634
61	2676662	321451
66	2381383	336969
71	2116036	350873
76	1882608	363353
81	1676820	374532
86	1497393	384462
91	1337261	393088
96	1197969	400929
101	1074471	408021
121	695212	430061
141	453261	444167
161	295160	453367
181	194182	459359
201	126544	463320
221	83719	465871
241	54438	467613
261	35828	468710
281	23449	469472
301	15404	469949
321	10050	470229
341	6299	470416
361	4005	470557
381	2633	470643
401	1774	470708
421	1180	470748
441	700	470770
461	385	470780
481	233	470783
501	178	470790
521	136	470793
541	85	470798
561	54	470800
581	45	470801
