time	subjects	deaths
1	4444	5
3	6937	19
5	8113	41
7	8775	60
9	9390	72
11	10587	95
13	12978	122
15	17574	160
17	26245	209
19	41765	304
21	68598	438
23	111016	678
25	171253	1025
27	246992	1553
29	328070	2298
31	406068	3198
33	474245	4295
35	531142	5551
37	575811	6951
39	609201	8510
41	630325	10061
43	639366	11695
45	636585	13292
47	624442	14851
49	606040	16345
51	581651	17896
56	511042	21243
61	441430	24245
66	380797	26768
71	330876	28994
76	291022	30937
81	257460	32646
86	230179	34095
91	206286	35485
96	185535	36746
101	166932	37876
121	109888	41340
141	71965	43615
161	47279	45115
181	31975	46117
201	21190	46789
221	14194	47205
241	10268	47502
261	7938	47734
281	6717	47925
301	6135	48082
321	6008	48227
341	6155	48375
361	6835	48548
381	7711	48725
401	8694	48919
421	9912	49152
441	10960	49431
461	12107	49734
481	12616	50025
501	13552	50357
521	13973	50704
541	14214	51090
561	14423	51445
581	14115	51768
