time	subjects	deaths
1	21876	5
3	2388275	1684
5	8225134	15699
7	10806836	40176
9	11433310	68038
11	11142577	96364
13	10489139	123361
15	9740870	148600
17	9004070	171939
19	8312307	193742
21	7664730	213693
23	7069361	232213
25	6525793	249304
27	6033155	264963
29	5589179	279496
31	5193297	292993
33	4832161	305565
35	4502899	317248
37	4205573	328302
39	3937107	338511
41	3691743	347727
43	3466450	356558
45	3259873	364956
47	3068215	372872
49	2892593	380153
51	2729001	387187
56	2369858	402994
61	2071318	416775
66	1821331	428790
71	1603744	439599
76	1415044	449158
81	1252611	457531
86	1110938	465066
91	988059	471626
96	878341	477439
101	782860	482564
121	495428	498230
141	315832	508125
161	202629	514507
181	131749	518502
201	85264	521131
221	55664	522826
241	36266	523963
261	23745	524747
281	15526	525195
301	10221	525535
321	6812	525737
341	4497	525869
361	2866	525965
381	1769	526033
401	1117	526072
421	677	526098
441	456	526107
461	339	526112
481	216	526114
501	151	526121
521	116	526126
541	50	526131
561	60	526133
581	54	526133
