time	subjects	deaths
1	21766	9
3	3307612	1932
5	16008892	26628
7	21554072	74924
9	22415514	129936
11	21139451	184567
13	19008106	235484
15	16655670	280275
17	14382855	319095
19	12311815	352349
21	10483180	380775
23	8897194	404780
25	7536537	425313
27	6376101	442676
29	5389301	457306
31	4554980	469662
33	3849865	480162
35	3250965	489050
37	2744954	496411
39	2318684	502779
41	1957350	508132
43	1653387	512650
45	1396150	516477
47	1178773	519640
49	995559	522321
51	841305	524647
56	551110	528910
61	361105	531704
66	236517	533558
71	154905	534806
76	101279	535605
81	66462	536098
86	43488	536387
91	28413	536628
96	18716	536767
101	12322	536869
121	2305	537026
141	449	537060
161	76	537068
181	16	537070
201	2	537070
221	0	537070
241	0	537070
261	0	537070
281	0	537070
301	0	537070
321	0	537070
341	0	537070
361	0	537070
381	0	537070
401	0	537070
421	0	537070
441	0	537070
461	0	537070
481	0	537070
501	0	537070
521	0	537070
541	0	537070
561	0	537070
581	0	537070
