time	subjects	deaths
1	4442	3
3	7054	14
5	8657	40
7	10503	68
9	13863	95
11	22297	131
13	44100	195
15	97651	372
17	222823	773
19	472000	1579
21	848245	3247
23	1264557	5806
25	1622393	9495
27	1877927	13914
29	2009223	18740
31	2016394	23692
33	1926003	28576
35	1776986	33096
37	1598088	37278
39	1414257	41132
41	1238577	44492
43	1078011	47332
45	933782	49796
47	807249	51987
49	697438	53820
51	602016	55426
56	418706	58573
61	297454	60732
66	220959	62308
71	179101	63608
76	164253	64659
81	173367	65696
86	201867	66886
91	246502	68249
96	300444	69932
101	352410	71949
121	384132	81760
141	208567	89306
161	84791	92839
181	31616	94117
201	11524	94594
221	4004	94773
241	1411	94835
261	560	94858
281	231	94864
301	120	94866
321	69	94867
341	27	94869
361	6	94869
381	0	94869
401	0	94869
421	0	94869
441	0	94869
461	0	94869
481	0	94869
501	0	94869
521	0	94869
541	0	94869
561	0	94869
581	0	94869
