time	subjects	deaths
1	4773	7
3	10866	22
5	20024	65
7	34863	126
9	59464	262
11	100027	450
13	167963	795
15	280647	1371
17	465690	2297
19	763803	3820
21	1232375	6276
23	1937851	10248
25	2943133	16171
27	4276423	25085
29	5905609	37826
31	7701384	54739
33	9483105	76359
35	11047090	102080
37	12223132	131342
39	12917053	162875
41	13112086	195233
43	12849007	227724
45	12226531	259231
47	11357497	288586
49	10347384	315817
51	9284587	340515
56	6759464	390674
61	4734166	426349
66	3250705	450869
71	2209823	467629
76	1494260	479033
81	1008084	486693
86	679636	491919
91	457860	495488
96	307452	497860
101	206728	499483
121	42602	502127
141	8807	502659
161	1788	502785
181	352	502809
201	64	502814
221	11	502814
241	5	502814
261	3	502815
281	2	502815
301	0	502815
321	0	502815
341	0	502815
361	0	502815
381	0	502815
401	0	502815
421	0	502815
441	0	502815
461	0	502815
481	0	502815
501	0	502815
521	0	502815
541	0	502815
561	0	502815
581	0	502815
