time	subjects	deaths
1	4492	3
3	6884	23
5	8112	51
7	8898	77
9	9810	97
11	11609	124
13	15501	160
15	23659	208
17	40016	278
19	72379	416
21	134803	663
23	246808	1092
25	425738	1896
27	666746	3270
29	931139	5289
31	1169560	7949
33	1354476	11155
35	1486610	14838
37	1570794	18690
39	1607597	22643
41	1595581	26606
43	1539474	30445
45	1446608	34081
47	1329688	37516
49	1201517	40621
51	1068783	43472
56	769636	49194
61	539913	53243
66	374515	56077
71	260768	57994
76	182861	59371
81	128794	60310
86	91458	60977
91	65673	61473
96	47649	61832
101	35117	62071
121	13215	62565
141	10933	62820
161	14424	63138
181	22054	63576
201	34620	64246
221	49396	65293
241	63122	66712
261	69951	68424
281	68855	70223
301	58546	71863
321	44519	73161
341	31169	74094
361	21690	74773
381	14456	75204
401	9694	75517
421	6752	75704
441	4877	75823
461	3394	75945
481	2568	76007
501	1893	76059
521	1395	76093
541	1122	76119
561	778	76143
581	523	76156
