time	subjects	deaths
1	4966	3
3	12833	27
5	27345	85
7	56739	195
9	116140	403
11	235989	805
13	474400	1643
15	935036	3305
17	1776137	6592
19	3189580	12597
21	5289122	22920
23	7966993	39246
25	10835345	62974
27	13359302	93586
29	15121761	129429
31	15932140	168437
33	15842496	208242
35	15068430	247032
37	13859976	283593
39	12447898	316362
41	10992798	345654
43	9591674	371238
45	8302291	393550
47	7141570	412748
49	6120174	429092
51	5229131	443284
56	3502227	470285
61	2331997	488331
66	1549455	500174
71	1028796	508028
76	683607	513322
81	453084	516832
86	299737	519208
91	198931	520736
96	131804	521732
101	87637	522427
121	16976	523523
141	3206	523705
161	611	523747
181	107	523755
201	23	523756
221	5	523756
241	3	523756
261	3	523756
281	1	523756
301	0	523756
321	0	523756
341	0	523756
361	0	523756
381	0	523756
401	0	523756
421	0	523756
441	0	523756
461	0	523756
481	0	523756
501	0	523756
521	0	523756
541	0	523756
561	0	523756
581	0	523756
