time	subjects	deaths
1	4471	2
3	6898	19
5	7954	38
7	8347	62
9	8756	83
11	9401	106
13	10836	124
15	13872	163
17	19471	205
19	29961	259
21	48590	363
23	81254	522
25	135743	779
27	224433	1229
29	355014	1983
31	525640	3076
33	718716	4577
35	904946	6553
37	1060400	9063
39	1174581	11830
41	1251543	14893
43	1300597	18106
45	1326773	21384
47	1330698	24692
49	1311624	27911
51	1269187	31059
56	1079113	38394
61	837442	44285
66	613412	48802
71	435711	52057
76	304984	54400
81	212547	56058
86	148555	57136
91	104648	57914
96	74748	58482
101	54805	58869
121	19311	59729
141	8138	60060
161	3370	60211
181	1385	60261
201	700	60292
221	398	60303
241	202	60308
261	92	60309
281	82	60311
301	55	60312
321	44	60312
341	76	60313
361	78	60316
381	116	60319
401	141	60321
421	137	60323
441	152	60325
461	164	60326
481	199	60332
501	203	60336
521	235	60338
541	284	60347
561	301	60354
581	336	60362
